longitude,latitude,ndvi,ndbi
27.215219494976413,38.390768816480126,0.7663773,-0.12096168
27.215334003137453,38.39076860619154,0.79358804,-0.22422062
27.215448511297296,38.3907683957911,0.7826661,-0.22048193
27.215563019455946,38.39076818527881,0.59041095,-0.07674473
27.215677527613398,38.390767974654665,0.39511928,-0.121940464
27.215792035769656,38.39076776391867,0.42819774,-0.010736764
27.215906543924717,38.390767553070816,0.34055248,-0.063277826
27.214188655634526,38.3906805816876,0.7743225,-0.17991138
27.214303163664162,38.390680372406365,0.6178248,-0.21359773
27.214417671692612,38.390680163013286,0.41172573,-0.060199004
27.214532179719868,38.39067995350835,0.54419345,-0.015376597
27.21464668774594,38.39067974389155,0.68708134,-0.040424906
27.214761195770816,38.39067953416291,0.7011041,-0.1403648
27.214875703794505,38.39067932432241,0.6315579,-0.10227273
27.214990211817003,38.39067911437006,0.576047,-0.12776025
27.21510471983831,38.39067890430586,0.348503,-0.23194748
27.21521922785842,38.390678694129804,0.5703289,-0.12228057
27.215333735877337,38.390678483841896,0.75687665,-0.20952962
27.21544824389506,38.39067827344213,0.73030186,-0.26078263
27.215562751911595,38.39067806293051,0.6078564,-0.08774342
27.215677259926927,38.39067785230704,0.38490567,-0.12675439
27.215791767941067,38.39067764157172,0.46758702,0.04436193
27.21590627595401,38.390677430724544,0.38581908,-0.029422449
27.214188389796785,38.39059045932982,0.6888705,-0.095250875
27.214302897684302,38.39059025004927,0.50377834,-0.17231223
27.214417405570632,38.39059004065685,0.47200653,-0.048617177
27.214531913455776,38.39058983115259,0.6988005,-0.0783982
27.214646421339726,38.39058962153648,0.7124944,-0.2051686
27.214760929222486,38.3905894118085,0.70561796,-0.28716788
27.21487543710406,38.39058920196868,0.72180784,-0.16094674
27.214989944984435,38.390588992017,0.73398215,-0.20247468
27.21510445286362,38.39058878195347,0.25319928,-0.20527473
27.21521896074162,38.390588571778096,0.5054274,-0.102061085
27.215333468618418,38.39058836149086,0.73871356,-0.21090707
27.215447976494026,38.39058815109178,0.6654779,-0.24433786
27.21556248436844,38.390587940580836,0.6913304,-0.099611275
27.215676992241654,38.39058772995804,0.38860926,-0.17165847
27.215791500113674,38.390587519223395,0.39049536,-0.06633244
27.215906007984504,38.390587308376894,0.43370786,-0.08503401
27.21602051585413,38.390587097418546,0.293027,-0.07183428
27.21407361621364,38.390500546138696,0.71383893,-0.22869955
27.214188123960227,38.39050033697066,0.45109662,-0.18432511
27.21430263170563,38.39050012769077,0.34150514,-0.16513988
27.214417139449843,38.390499918299035,0.6513501,-0.03227717
27.214531647192867,38.390499708795446,0.6651376,-0.14270724
27.214646154934698,38.390499499179995,0.6424288,-0.26940903
27.214760662675342,38.3904992894527,0.700157,-0.26407936
27.2148751704148,38.39049907961355,0.78669095,-0.16044997
27.21498967815306,38.390498869662544,0.7057878,-0.19887006
27.21510418589013,38.39049865959969,0.34824952,-0.17235065
27.21521869362601,38.39049844942498,0.44587708,-0.14292486
27.215333201360693,38.390498239138424,0.76168585,-0.2370191
27.21544770909418,38.39049802874001,0.6879655,-0.2058247
27.215562216826477,38.390497818229754,0.61804414,-0.1401392
27.21567672455758,38.390497607607635,0.5211864,-0.15116812
27.215791232287483,38.39049739687367,0.46869713,-0.03641791
27.21590574001619,38.39049718602785,0.5151182,-0.06470929
27.216020247743703,38.39049697507017,0.3871615,0.0021645022
27.216134755470016,38.39049676400065,0.2311257,-0.06872276
27.213958842914728,38.390410632832975,0.8,-0.1126721
27.214073350520387,38.39041042377747,0.54217666,-0.19232737
27.21418785812486,38.39041021461011,0.38428617,-0.17032824
27.214302365728145,38.390410005330885,0.4667697,-0.083642595
27.21441687333024,38.39040979593982,0.74361444,-0.10003041
27.21453138093115,38.390409586436895,0.58870435,-0.2353397
27.214645888530868,38.39040937682213,0.63066953,-0.2928082
27.214760396129396,38.390409167095505,0.80074143,-0.2212445
27.21487490372673,38.39040895725703,0.7987946,-0.1942136
27.21498941132288,38.3904087473067,0.7185535,-0.2509299
27.21510391891783,38.39040853724452,0.39365575,-0.23360184
27.215218426511594,38.39040832707049,0.38430583,-0.18242082
27.21533293410416,38.390408116784606,0.804814,-0.17559864
27.215447441695535,38.39040790638687,0.71293,-0.19933555
27.215561949285714,38.390407695877286,0.49525726,-0.20724066
27.215676456874696,38.39040748525584,0.46861234,-0.2192
27.215790964462485,38.39040727452255,0.5536771,-0.15524827
27.215905472049077,38.39040706367741,0.5919424,-0.15683815
27.21601997963447,38.39040685272041,0.58963794,-0.10226577
27.216134487218667,38.390406641651566,0.2551724,-0.15455595
27.216248994801667,38.39040643047086,0.32802248,-0.04943529
27.213958577364778,38.390320510469685,0.62205833,-0.18775721
27.214073084828325,38.390320301414846,0.42932802,-0.15516318
27.214187592290678,38.39032009224815,0.47040254,-0.074394464
27.214302099751848,38.390319882969614,0.68195415,-0.02490887
27.214416607211827,38.39031967357922,0.6798419,-0.17891817
27.21453111467062,38.39031946407697,0.60294116,-0.23671997
27.214645622128224,38.390319254462874,0.7247098,-0.25338957
27.214760129584633,38.39031904473692,0.829827,-0.22465582
27.214874637039856,38.39031883489912,0.76692766,-0.18872017
27.214989144493888,38.390318624949465,0.77111286,-0.2631579
27.215103651946727,38.39031841488796,0.34401974,-0.24145786
27.21521815939837,38.3903182047146,0.454324,-0.17838638
27.215332666848823,38.390317994429395,0.8157555,-0.1864979
27.21544717429808,38.390317784032334,0.7460692,-0.21134442
