longitude,latitude,ndvi,ndbi,fakulte
27.201984382147614,38.366819639388375,0.07027027,-0.009284544,Fen Edebiyat
27.202098852660473,38.366819442131515,0.109707065,0.16956802,Fen Edebiyat
27.20221332317221,38.36681924476291,0.048320293,0.49140432,Fen Edebiyat
27.202327793682826,38.36681904728254,-0.075694665,0.395446,Fen Edebiyat
27.20244226419232,38.36681884969042,0.048383776,0.2028804,Fen Edebiyat
27.202556734700696,38.36681865198653,0.27741936,0.09614836,Fen Edebiyat
27.20267120520795,38.36681845417089,0.3877429,0.073268116,Fen Edebiyat
27.20278567571408,38.366818256243484,0.24989758,-0.063251436,Fen Edebiyat
27.202900146219086,38.36681805820432,0.24804729,0.05754822,Fen Edebiyat
27.203014616722967,38.3668178600534,0.043360434,0.2655475,Fen Edebiyat
27.20312908722573,38.36681766179073,-0.07267069,0.29196367,Fen Edebiyat
27.20324355772736,38.3668174634163,-0.04733728,0.2842456,Fen Edebiyat
27.203358028227868,38.3668172649301,0.08795041,0.2951807,Fen Edebiyat
27.20347249872725,38.366817066332146,0.055759978,0.16085489,Fen Edebiyat
27.2035869692255,38.36681686762244,0.03707982,0.0043251636,Fen Edebiyat
27.20370143972263,38.36681666880097,0.13952775,0.09849588,Fen Edebiyat
27.203815910218626,38.36681646986775,0.23992467,0.0013650842,Fen Edebiyat
27.2017551909259,38.36672991077006,0.6064315,-0.1431011,Fen Edebiyat
27.201869661299046,38.36672971373736,0.18909235,-0.08697234,Fen Edebiyat
27.201984131671068,38.3667295165929,0.051261187,0.025824694,Fen Edebiyat
27.20209860204198,38.36672931933668,0.15351194,0.26147428,Fen Edebiyat
27.202213072411762,38.3667291219687,-0.02239951,0.35414556,Fen Edebiyat
27.20232754278043,38.36672892448897,0.0,0.14934619,Fen Edebiyat
27.202442013147976,38.36672872689748,0.20303246,0.20419997,Fen Edebiyat
27.202556483514403,38.366728529194226,0.3888889,0.2717643,Fen Edebiyat
27.202670953879704,38.36672833137922,0.55327165,0.084964685,Fen Edebiyat
27.202785424243885,38.36672813345245,0.31973085,-0.061452515,Fen Edebiyat
27.202899894606944,38.36672793541393,0.2006778,0.14438502,Fen Edebiyat
27.203014364968876,38.366727737263645,-0.047379877,0.07659851,Fen Edebiyat
27.203128835329682,38.36672753900161,-0.018557617,0.022792654,Fen Edebiyat
27.203243305689366,38.36672734062781,0.09006864,0.08586867,Fen Edebiyat
27.203357776047923,38.36672714214225,0.2550085,0.16531165,Fen Edebiyat
27.203472246405354,38.36672694354494,0.23121984,0.18172449,Fen Edebiyat
27.20358671676166,38.366726744835866,0.2145749,0.15687276,Fen Edebiyat
27.20370118711683,38.36672654601504,0.2037528,0.21085706,Fen Edebiyat
27.20381565747088,38.36672634708245,0.16761543,0.08764415,Fen Edebiyat
27.201754940734375,38.366639787971934,0.54677755,-0.16322702,Fen Edebiyat
27.201869410965568,38.36663959093986,0.13326791,-0.037929174,Fen Edebiyat
27.201983881195645,38.366639393796035,0.12535344,0.11226766,Fen Edebiyat
27.202098351424603,38.366639196540454,0.15627575,0.17402394,Fen Edebiyat
27.202212821652438,38.36663899917311,-0.051576395,0.0860081,Fen Edebiyat
27.202327291879158,38.36663880169401,-0.02498145,-0.061532248,Fen Edebiyat
27.202441762104755,38.36663860410315,0.1215,0.1987855,Fen Edebiyat
27.20255623232923,38.36663840640054,0.14737204,0.33545563,Fen Edebiyat
27.20267070255258,38.36663820858617,0.23109025,0.11494468,Fen Edebiyat
27.202785172774814,38.36663801066003,0.27246517,0.057818893,Fen Edebiyat
27.20289964299592,38.36663781262215,0.1285439,0.2512783,Fen Edebiyat
27.203014113215904,38.3666376144725,-0.049349375,-0.061112635,Fen Edebiyat
27.203128583434765,38.3666374162111,-0.06742624,-0.13458157,Fen Edebiyat
27.203243053652496,38.36663721783793,0.14408883,-0.022891847,Fen Edebiyat
27.203357523869105,38.36663701935302,0.22652583,-0.067688376,Fen Edebiyat
27.203471994084587,38.36663682075635,0.19961272,-0.009094611,Fen Edebiyat
27.20358646429894,38.366636622047906,0.25628963,0.009035173,Fen Edebiyat
27.203700934512167,38.36663642322772,0.17950872,0.05357143,Fen Edebiyat
27.203815404724264,38.366636224295775,0.084163666,0.06899691,Fen Edebiyat
27.2016402204536,38.3665498620921,0.36761752,-0.14400941,Fen Edebiyat
27.201754690543964,38.36654966517242,0.33777168,-0.12147078,Fen Edebiyat
27.20186916063321,38.36654946814098,0.0777665,0.0041275797,Fen Edebiyat
27.201983630721337,38.36654927099779,0.23631124,0.07509881,Fen Edebiyat
27.202098100808346,38.36654907374284,0.35027623,-0.010418389,Fen Edebiyat
27.202212570894236,38.36654887637612,0.11540941,0.003599712,Fen Edebiyat
27.202327040979004,38.36654867889766,0.09921007,-0.08168643,Fen Edebiyat
27.202441511062656,38.36654848130744,0.10142631,0.23359677,Fen Edebiyat
27.202555981145178,38.366548283605454,0.015285253,0.17465873,Fen Edebiyat
27.202670451226584,38.36654808579172,0.0048453226,0.048862234,Fen Edebiyat
27.202784921306865,38.366547887866226,0.027722333,0.12400756,Fen Edebiyat
27.202899391386026,38.36654768982898,0.03050109,0.2884543,Fen Edebiyat
27.203013861464058,38.36654749167997,0.026555687,0.13896276,Fen Edebiyat
